name,date_released,Rulings_per_card,Total_rulings,Cards_per_set,Words_per_Card,Total_Words_in_Set
Limited Edition Alpha,1993-08-05,1.30344827586207,378,290,17.8172413793103,5167
Limited Edition Beta,1993-10-04,1.30821917808219,382,292,17.7808219178082,5192
Unlimited Edition,1993-12-01,1.30821917808219,382,292,17.7808219178082,5192
Arabian Nights,1993-12-17,1.15384615384615,90,78,21.8076923076923,1701
Antiquities,1994-03-04,1.10588235294118,94,85,23.7647058823529,2020
Revised Edition,1994-04-01,1.17567567567568,348,296,17.3310810810811,5130
Foreign Black Border,1994-04-01,1.17567567567568,348,296,17.3310810810811,5130
Legends,1994-06-01,0.967741935483871,300,310,21.7258064516129,6735
Summer Magic / Edgar,1994-06-21,1.17567567567568,348,296,17.3310810810811,5130
The Dark,1994-08-01,1.01680672268908,121,119,20.7058823529412,2464
Fallen Empires,1994-11-01,1.14705882352941,117,102,27.0196078431373,2756
Fourth Edition Foreign Black Border,1995-04-01,0.994565217391304,366,368,18.4184782608696,6778
Fourth Edition,1995-04-01,0.994565217391304,366,368,18.4184782608696,6778
Ice Age,1995-06-03,0.96514745308311,360,373,25.4343163538874,9487
Homelands,1995-10-01,0.660869565217391,76,115,21.095652173913,2426
Alliances,1996-06-10,0.965277777777778,139,144,29.5555555555556,4256
Mirage,1996-10-08,0.62089552238806,208,335,23.2089552238806,7775
Visions,1997-02-03,0.976047904191617,163,167,24.0419161676647,4015
Fifth Edition,1997-03-24,1.04608294930876,454,434,18.4493087557604,8007
Weatherlight,1997-06-09,1.31736526946108,220,167,21.4790419161677,3587
Tempest,1997-10-14,0.844776119402985,283,335,17.6776119402985,5922
Stronghold,1998-03-02,0.951048951048951,136,143,19.2097902097902,2747
Exodus,1998-06-15,0.916083916083916,131,143,20.5174825174825,2934
Urza's Saga,1998-10-12,1.00298507462687,336,335,18.0805970149254,6057
Urza's Legacy,1999-02-15,0.867132867132867,124,143,19.6223776223776,2806
Classic Sixth Edition,1999-04-21,0.641791044776119,215,335,13.2985074626866,4455
Urza's Destiny,1999-06-07,0.937062937062937,134,143,17.6433566433566,2523
Mercadian Masques,1999-10-04,0.346268656716418,116,335,17.2567164179104,5781
Nemesis,2000-02-14,0.48951048951049,70,143,22.986013986014,3287
Prophecy,2000-06-05,0.475524475524476,68,143,18.1678321678322,2598
Invasion,2000-10-02,0.53134328358209,178,335,19.9641791044776,6688
Planeshift,2001-02-05,1.13286713286713,162,143,23.5314685314685,3365
Seventh Edition,2001-04-11,0.546268656716418,183,335,11.6865671641791,3915
Apocalypse,2001-06-04,0.517482517482518,74,143,23.3426573426573,3338
Odyssey,2001-10-01,0.516417910447761,173,335,19.6417910447761,6580
Torment,2002-02-04,0.657342657342657,94,143,24.4125874125874,3491
Judgment,2002-05-27,0.979020979020979,140,143,23.3356643356643,3337
Onslaught,2002-10-07,0.561194029850746,188,335,22.2417910447761,7451
Legions,2003-02-03,0.862068965517241,125,145,23.4344827586207,3398
Scourge,2003-05-26,1.18881118881119,170,143,24.8671328671329,3556
Eighth Edition,2003-07-28,0.552631578947369,189,342,12.3713450292398,4231
Mirrodin,2003-10-02,0.707903780068729,206,291,19.3058419243986,5618
Darksteel,2004-02-06,0.76969696969697,127,165,22.8606060606061,3772
Fifth Dawn,2004-06-04,0.781818181818182,129,165,21.3757575757576,3527
Champions of Kamigawa,2004-10-01,0.604810996563574,176,291,22.4123711340206,6522
Betrayers of Kamigawa,2005-02-04,0.993939393939394,164,165,27.769696969697,4582
